CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
19827	20370	1	0.7717	-30.978
20370	25021	1	0.8382	21.995
20370	27011	1	0.8432	18.978
22732	24639	1	0.8838	9.005
23943	24639	1	0.8222	23.021
24639	24934	1	0.7857	-16.014
24639	25021	1	0.8053	-58.042
24639	27899	1	0.8162	-65.050
19041	19827	1	0.8554	-1.008
19827	21962	1	0.8452	58.042
19827	23124	1	0.8069	44.026
19827	25021	1	0.7694	-8.983
19827	27011	1	0.8809	-12.000
19827	31892	1	0.8287	58.042
29880	30729	1	0.8663	-17.988
29880	31892	1	0.762	-35.021
23124	23943	1	0.8055	-17.988
23124	27011	1	0.7908	-56.026
23124	31892	1	0.8673	14.016
19041	23124	1	0.7897	43.018
21962	23124	1	0.8876	-14.016
22732	23943	1	0.923	-14.016
22732	24934	1	0.9027	-7.008
22732	25021	1	0.8978	-49.037
22732	27235	1	0.8237	-21.024
22732	27899	1	0.8928	-56.045
22732	28312	1	0.8624	8.983
22732	30729	1	0.8079	35.021
22732	31892	1	0.8062	17.988
21962	22732	1	0.8201	-17.989
28312	31892	1	0.9356	9.005
21962	28312	1	0.9609	-9.005
23943	30729	1	0.7827	49.037
27235	27899	1	0.8334	-35.021
23943	27235	1	0.9045	-7.008
24934	27235	1	0.8509	-14.016
25021	27235	1	0.801	28.013
23943	24934	1	0.8105	7.007
23943	25021	1	0.8907	-35.021
23943	27899	1	0.8908	-42.029
24934	25021	1	0.7944	-42.028
25021	27011	1	0.7462	-3.017
25021	27899	1	0.977	-7.008
27011	31892	1	0.8232	70.042
19041	27011	1	0.8086	-13.008
21962	27011	1	0.8254	-70.042
24934	27899	1	0.8265	-49.036
21962	31892	1	0.9623	-0.001
19041	31892	1	0.7651	57.034
29138	29915	2	0.8818	14.016
29138	33594	2	0.8526	-158.058
28226	28541	2	0.9086	190.085
28226	31024	2	0.9905	-86.037
28226	32126	2	0.9038	158.058
28226	32384	2	0.9356	-14.016
28226	33653	2	0.9357	-172.073
28226	34468	2	0.8846	-100.052
28226	35403	2	0.89	-186.089
25013	28226	2	0.9292	-103.064
21367	28226	2	0.9403	-172.074
32384	35049	2	0.8737	-100.052
33594	35049	2	0.9785	-86.037
34468	35049	2	0.9201	-14.016
35049	35403	2	0.8843	-72.021
31024	32384	2	0.9385	72.021
32126	32384	2	0.9471	-172.074
32384	33594	2	0.8724	-14.016
